Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,MRP_bin,Vis_per_Weight,Is_New_Outlet
FDI10,8.51,reg,0.078339081,Snack Foods,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376,38,High,0.00920553135070137,0
FDC45,17.0,Low Fat,0.237651344,Fruits and Vegetables,170.2106,OUT019,1985,Small,Tier 1,Grocery Store,171.1106,40,High,0.01397949000120647,0
FDA27,20.35,Regular,0.031102571,Dairy,257.2672,OUT017,2007,Small,Tier 2,Supermarket Type1,2045.3376,18,Very_High,0.0015283817922171108,0
NCR41,17.85,Low Fat,0.018097419,Health and Hygiene,96.9094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1332.9316,16,Medium,0.0010138609516044284,0
FDR09,18.25,Low Fat,0.078041216,Snack Foods,258.4962,OUT018,2009,Medium,Tier 3,Supermarket Type2,2848.9582,16,Very_High,0.004276230779384615,0
NCB06,17.6,Low Fat,0.08226356,Health and Hygiene,160.492,OUT013,1987,High,Tier 3,Supermarket Type1,1278.336,38,High,0.004674065643518997,0
FDE53,10.895,Low Fat,0.026880159,Frozen Foods,106.428,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,28,Medium,0.0024672011503257324,0
DRE27,11.85,Low Fat,0.222063351,Dairy,99.6726,OUT010,1998,Medium,Tier 3,Grocery Store,195.7452,27,Medium,0.018739521709745004,0
NCA06,20.5,Low Fat,0.142589751,Household,35.919,OUT027,1985,Medium,Tier 3,Supermarket Type3,585.904,40,Low,0.0069555972704586685,0
FDL56,14.1,Low Fat,0.126292985,Fruits and Vegetables,88.6198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1133.8574,16,Low,0.008956948655535557,0
FDT09,15.15,Regular,0.012260981,Snack Foods,131.7284,OUT035,2004,Small,Tier 2,Supermarket Type1,1186.4556,21,Medium,0.0008093056231481437,0
DRH03,17.25,Low Fat,0.05869048,Dairy,91.612,OUT010,1998,Medium,Tier 3,Grocery Store,93.212,27,Low,0.00340234646942919,0
NCQ53,17.6,Low Fat,0.018982338,Health and Hygiene,237.059,OUT018,2009,Medium,Tier 3,Supermarket Type2,2836.308,16,Very_High,0.0010785418705373936,0
NCT18,14.6,Low Fat,0.059405152,Household,179.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3621.952,28,High,0.004068845748709196,0
FDL43,10.1,Low Fat,0.027059264,Meat,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1761.041,21,Low,0.002679134784244081,0
FDJ53,10.5,Low Fat,0.071244438,Frozen Foods,119.2098,OUT035,2004,Small,Tier 2,Supermarket Type1,1325.6078,21,Medium,0.006785183925220578,0
NCQ02,12.6,Low Fat,0.007455054,Household,186.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,3942.8676,21,Very_High,0.0005916709054229441,0
NCJ05,18.7,Low Fat,0.046088273,Health and Hygiene,153.6682,OUT046,1997,Small,Tier 1,Supermarket Type1,3506.7686,28,High,0.0024646133976142567,0
FDT40,5.985,LF,0.096185556,Frozen Foods,127.1678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.6984,16,Medium,0.016071101074168575,0
FDA48,12.1,Low Fat,0.11487406,Baking Goods,221.4114,OUT046,1997,Small,Tier 1,Supermarket Type1,5099.3622,28,Very_High,0.009493723182336928,0
FDV37,13.0,Regular,0.083643716,Canned,196.0426,OUT049,1999,Medium,Tier 1,Supermarket Type1,2570.6538,26,Very_High,0.006434131505066808,0
FDX07,19.2,Regular,0.022965292,Fruits and Vegetables,181.695,OUT045,2002,Small,Tier 2,Supermarket Type1,2563.33,23,High,0.0011961088960359952,0
DRG48,5.78,Low Fat,0.014584584,Soft Drinks,146.3102,OUT045,2002,Small,Tier 2,Supermarket Type1,2187.153,23,High,0.0025232839925114197,0
FDF44,7.17,Regular,0.059716729,Fruits and Vegetables,130.9968,OUT035,2004,Small,Tier 2,Supermarket Type1,2348.9424,21,Medium,0.008328691864896532,0
FDS24,20.85,Regular,0.062224479,Baking Goods,88.1514,OUT046,1997,Small,Tier 1,Supermarket Type1,1682.4766,28,Low,0.0029843873388783046,0
NCQ50,18.75,Low Fat,0.034360687,Household,215.7218,OUT049,1999,Medium,Tier 1,Supermarket Type1,4274.436,26,Very_High,0.0018325698755962733,0
FDT25,7.5,Low Fat,0.050708743,Canned,123.4072,OUT013,1987,High,Tier 3,Supermarket Type1,3185.1872,38,Medium,0.006761164831844689,0
FDO03,10.395,Regular,0.036957777,Meat,230.5352,OUT045,2002,Small,Tier 2,Supermarket Type1,4580.704,23,Very_High,0.003555341360717522,0
FDJ55,12.8,Regular,0.023530953,Meat,223.5404,OUT046,1997,Small,Tier 1,Supermarket Type1,1800.3232,28,Very_High,0.001838355559503472,0
FDM36,11.65,Regular,0.058681957,Baking Goods,170.4422,OUT013,1987,High,Tier 3,Supermarket Type1,517.3266,38,High,0.005037077421710093,0
FDM21,20.2,Low Fat,0.064728148,Snack Foods,258.0646,OUT017,2007,Small,Tier 2,Supermarket Type1,5668.6212,18,Very_High,0.003204363603744376,0
FDK58,11.35,Regular,0.04985679485714286,Snack Foods,103.0016,OUT035,2004,Small,Tier 2,Supermarket Type1,2125.2336,21,Medium,0.004392668763389789,0
FDD26,8.71,Regular,0.120773451,Canned,186.5924,OUT010,1998,Medium,Tier 3,Grocery Store,555.2772,27,Very_High,0.013866066261071612,0
FDW57,8.31,Regular,0.115911972,Snack Foods,177.3028,OUT045,2002,Small,Tier 2,Supermarket Type1,1948.1308,23,High,0.013948490740253823,0
FDT32,19.0,Regular,0.10985775,Fruits and Vegetables,188.8214,OUT010,1998,Medium,Tier 3,Grocery Store,188.4214,27,Very_High,0.005781986537790182,0
FDT25,7.5,Low Fat,0.050853901,Canned,121.7072,OUT045,2002,Small,Tier 2,Supermarket Type1,367.5216,23,Medium,0.006780519229264103,0
NCB19,6.525,Low Fat,0.090295708,Household,84.6882,OUT046,1997,Small,Tier 1,Supermarket Type1,601.2174,28,Low,0.013838420561161599,0
FDD05,19.35,Low Fat,0.029084548,Frozen Foods,122.0098,OUT019,1985,Small,Tier 1,Grocery Store,361.5294,40,Medium,0.0015030773383422564,0
NCE54,20.7,Low Fat,0.026769592,Household,77.0354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2332.2974,40,Low,0.0012932169423566693,0
FDO39,6.985,Regular,0.137580452,Meat,182.8608,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.7376,26,High,0.019696554374151125,0
NCV06,11.3,Low Fat,0.066816565,Household,192.2478,OUT045,2002,Small,Tier 2,Supermarket Type1,1356.2346,23,Very_High,0.005912969830710634,0
DRB13,6.115,Regular,0.01179078,Soft Drinks,189.053,OUT010,1998,Medium,Tier 3,Grocery Store,948.765,27,Very_High,0.0019281730289169208,0
FDX51,9.5,Regular,0.036921781,Meat,194.2452,OUT010,1998,Medium,Tier 3,Grocery Store,782.9808,27,Very_High,0.0038865028540523315,0
FDC38,15.7,Low Fat,0.122742389,Canned,134.2942,OUT045,2002,Small,Tier 2,Supermarket Type1,1192.4478,23,Medium,0.007817986062548658,0
FDD04,16.0,Low Fat,0.089971292,Dairy,143.2154,OUT046,1997,Small,Tier 1,Supermarket Type1,1701.7848,28,High,0.005623205398549662,0
FDC05,13.1,Regular,0.099186992,Frozen Foods,198.7768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3153.2288,16,Very_High,0.007571525528891182,0
DRJ59,11.65,Low Fat,0.021033632875,Hard Drinks,39.0164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1042.6428,40,Low,0.0018054618943809534,0
FDL22,16.85,low fat,0.036596012,Snack Foods,90.6488,OUT017,2007,Small,Tier 2,Supermarket Type1,633.8416,18,Low,0.0021718700194735888,0
DRH13,8.575,Low Fat,0.041821227,Soft Drinks,107.628,OUT019,1985,Small,Tier 1,Grocery Store,213.056,40,Medium,0.004877110451648928,0
FDV22,14.85,Regular,0.016635488,Snack Foods,157.563,OUT010,1998,Medium,Tier 3,Grocery Store,312.926,27,High,0.001120234806718195,0
FDP07,18.2,Low Fat,0.090084098,Fruits and Vegetables,197.211,OUT045,2002,Small,Tier 2,Supermarket Type1,3142.576,23,Very_High,0.004949675442325525,0
FDK27,11.0,Low Fat,0.008960445,Meat,119.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1696.4584,26,Medium,0.0008145858350376514,0
FDP31,21.1,Regular,0.162418495,Fruits and Vegetables,64.9168,OUT017,2007,Small,Tier 2,Supermarket Type1,639.168,18,Low,0.00769755863992613,0
NCI54,15.2,Low Fat,0.056237906,Household,110.7912,OUT010,1998,Medium,Tier 3,Grocery Store,109.1912,27,Medium,0.003699861993430132,0
DRK35,8.365,Low Fat,0.071498575,Hard Drinks,37.7506,OUT027,1985,Medium,Tier 3,Supermarket Type3,796.9626,40,Low,0.008547348051721691,0
NCO07,9.06,Low Fat,0.009791467,Others,213.256,OUT049,1999,Medium,Tier 1,Supermarket Type1,4687.232,26,Very_High,0.001080735752678173,0
FDN31,11.5,Low Fat,0.072820885,Fruits and Vegetables,191.253,OUT013,1987,High,Tier 3,Supermarket Type1,3036.048,38,Very_High,0.0063322503189347555,0
NCO02,11.15,Low Fat,0.073354286,Others,66.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112,21,Low,0.006578859140909494,0
FDQ26,13.5,Regular,0.068010049,Dairy,57.2562,OUT045,2002,Small,Tier 2,Supermarket Type1,770.3306,23,Low,0.005037781034238443,0
FDQ07,15.1,Regular,0.087406863,Fruits and Vegetables,221.8456,OUT046,1997,Small,Tier 1,Supermarket Type1,663.1368,28,Very_High,0.0057885335901633386,0
FDB49,8.3,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Medium,Tier 1,Supermarket Type1,2167.8448,26,Medium,0.003638340284537315,0
FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,196.411,OUT049,1999,Medium,Tier 1,Supermarket Type1,2749.754,26,Very_High,0.0017273851076052926,0
NCI54,15.2,Low Fat,0.033436336,Household,107.3912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.3536,40,Medium,0.002199758802647447,0
FDV44,8.365,Regular,0.039844429,Fruits and Vegetables,190.1188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.188,28,Very_High,0.004763230632010684,0
FDI48,11.85,Regular,0.055805027,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,512.666,26,Low,0.004709284581494972,0
NCL05,19.6,Low Fat,0.047888606,Health and Hygiene,42.277,OUT035,2004,Small,Tier 2,Supermarket Type1,605.878,21,Low,0.0024432960998318314,0
FDT32,19.0,Regular,0.065735977,Fruits and Vegetables,189.6214,OUT049,1999,Medium,Tier 1,Supermarket Type1,2826.321,26,Very_High,0.003459788081063785,0
FDM10,18.25,Low Fat,0.076089711,Snack Foods,212.9218,OUT049,1999,Medium,Tier 1,Supermarket Type1,3846.9924,26,Very_High,0.004169299004421973,0
FDS21,19.85,Regular,0.020908608,Snack Foods,63.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,557.2746,26,Low,0.001053330324769253,0
FDD11,12.85,Low Fat,0.030678825,Starchy Foods,251.704,OUT045,2002,Small,Tier 2,Supermarket Type1,3542.056,23,Very_High,0.00238745701264926,0
FDL04,19.0,Low Fat,0.111381428,Frozen Foods,106.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2964.1416,40,Medium,0.005862180112516836,0
FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2960.1468,16,High,0.002027468927169952,0
FDQ08,15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,OUT017,2007,Small,Tier 2,Supermarket Type1,490.0288,18,Low,0.0012125750820015874,0
FDT28,13.3,Low Fat,0.06356617,Frozen Foods,151.3708,OUT046,1997,Small,Tier 1,Supermarket Type1,3611.2992,28,High,0.004779410918841285,0
FDT22,10.395,Low Fat,0.112553853,Snack Foods,59.022,OUT018,2009,Medium,Tier 3,Supermarket Type2,1378.206,16,Low,0.010827690444666624,0
FDB58,10.5,Regular,0.013493914,Snack Foods,143.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,3119.9388,21,High,0.0012851345442729005,0
FDN45,19.35,Low Fat,0.118102769,Snack Foods,224.8088,OUT046,1997,Small,Tier 1,Supermarket Type1,2013.3792,28,Very_High,0.00610350195847535,0
FDZ45,14.1,Low Fat,0.06682033,Snack Foods,198.9084,OUT013,1987,High,Tier 3,Supermarket Type1,4761.8016,38,Very_High,0.004739030160352471,0
FDJ38,8.6,Regular,0.040205535,Canned,188.753,OUT046,1997,Small,Tier 1,Supermarket Type1,7590.12,28,Very_High,0.004675061665690505,0
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,Small,Tier 2,Supermarket Type1,1326.2736,23,High,0.002269948112868531,0
FDU21,11.8,Regular,0.076348933,Snack Foods,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,713.0718,40,Low,0.00647024801099593,0
NCP30,20.5,Low Fat,0.032819637,Household,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,982.055,26,Low,0.0016009578243435206,0
FDR27,15.1,Regular,0.096249842,Meat,134.4942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2119.9072,26,Medium,0.006374161299724418,0
FDW39,6.69,Regular,0.040868433999999995,Meat,176.937,OUT017,2007,Small,Tier 2,Supermarket Type1,4234.488,18,High,0.006108883092842586,0
DRZ24,7.535,Low Fat,0.09850554000000002,Soft Drinks,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,2396.88,40,Medium,0.013073062631312193,0
FDK21,7.905,Low Fat,0.010003987,Snack Foods,250.7408,OUT013,1987,High,Tier 3,Supermarket Type1,5757.8384,38,Very_High,0.001265526342121905,0
FDJ04,18.0,Low Fat,0.124452048,Frozen Foods,118.5124,OUT046,1997,Small,Tier 1,Supermarket Type1,1303.6364,28,Medium,0.0069140022825554285,0
FDZ13,7.84,Regular,0.154363209,Canned,50.835,OUT017,2007,Small,Tier 2,Supermarket Type1,599.22,18,Low,0.019689182310053278,0
FDS16,15.15,Regular,0.066551268,Frozen Foods,144.676,OUT017,2007,Small,Tier 2,Supermarket Type1,3954.852,18,High,0.004392822680341737,0
FDD56,15.2,Regular,0.173703549,Fruits and Vegetables,175.8054,OUT010,1998,Medium,Tier 3,Grocery Store,1050.6324,27,High,0.011427864313956298,0
FDI57,19.85,Low Fat,0.054025644,Seafood,197.2768,OUT046,1997,Small,Tier 1,Supermarket Type1,6503.5344,28,Very_High,0.0027216947747257035,0
FDQ12,12.65,Low Fat,0.03523927,Baking Goods,231.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,5972.226,40,Very_High,0.0027857128232638088,0
FDI56,7.325,Low Fat,0.093385381,Fruits and Vegetables,91.3146,OUT046,1997,Small,Tier 1,Supermarket Type1,1641.8628,28,Low,0.01274885573394461,0
NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,Small,Tier 2,Supermarket Type1,2087.9488,23,High,0.0042411203671564,0
FDM25,10.695,Regular,0.060654268,Breakfast,174.7712,OUT035,2004,Small,Tier 2,Supermarket Type1,3339.6528,21,High,0.005671272775009558,0
DRB25,12.3,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2787.0388,40,Medium,0.005619784908960576,0
NCY30,20.25,LF,0.025953257,Household,179.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,2535.3664,28,High,0.0012816422576966786,0
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,Small,Tier 2,Supermarket Type1,8760.5964,18,Very_High,0.009794275801953318,0
FDK45,11.65,Low Fat,0.033851785,Seafood,112.186,OUT035,2004,Small,Tier 2,Supermarket Type1,1018.674,21,Medium,0.002905732368606664,0
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,Small,Tier 2,Supermarket Type1,1789.6704,23,Very_High,0.006115880045690953,0
FDQ09,7.235,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,2004,Small,Tier 2,Supermarket Type1,1382.2008,21,Medium,0.008033338765260708,0
FDC17,12.15,Low Fat,0.015457803,Frozen Foods,209.9928,OUT035,2004,Small,Tier 2,Supermarket Type1,5259.82,21,Very_High,0.0012722470557821354,0
FDD45,8.615,low fat,0.116152226,Fruits and Vegetables,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1512.6976,38,Medium,0.013482555138414959,0
FDD41,6.765,Regular,0.087260103,Frozen Foods,105.0306,OUT046,1997,Small,Tier 1,Supermarket Type1,2090.612,28,Medium,0.012898756851625004,0
FDU46,10.3,Regular,0.0111263,Snack Foods,87.254,OUT046,1997,Small,Tier 1,Supermarket Type1,1211.756,28,Low,0.0010802231960948354,0
FDO45,13.15,Regular,0.038167453,Snack Foods,89.4856,OUT017,2007,Small,Tier 2,Supermarket Type1,1230.3984,18,Low,0.0029024676880252706,0
FDG41,8.84,Regular,0.076547632,Frozen Foods,109.5228,OUT035,2004,Small,Tier 2,Supermarket Type1,1657.842,21,Medium,0.008659233409588981,0
DRC13,8.26,Regular,0.032466695000000004,Soft Drinks,122.573,OUT045,2002,Small,Tier 2,Supermarket Type1,739.038,23,Medium,0.003930592139153495,0
FDX50,20.1,Low Fat,0.074931201,Dairy,108.9228,OUT018,2009,Medium,Tier 3,Supermarket Type2,1105.228,16,Medium,0.003727920262292524,0
FDK56,9.695,Low Fat,0.142323593875,Fruits and Vegetables,185.1898,OUT035,2004,Small,Tier 2,Supermarket Type1,2619.2572,21,High,0.014680100999989582,0
NCL18,18.85,Low Fat,0.16758389,Household,194.6136,OUT046,1997,Small,Tier 1,Supermarket Type1,2721.7904,28,Very_High,0.008890391570801508,0
FDN57,18.25,Low Fat,0.054318517,Snack Foods,140.9154,OUT049,1999,Medium,Tier 1,Supermarket Type1,6381.693,26,Medium,0.0029763569328023595,0
FDX03,15.85,Regular,0.060800116,Meat,44.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,769.6648,40,Low,0.003835969221705412,0
NCU17,5.32,Low Fat,0.101697378375,Health and Hygiene,101.7674,OUT013,1987,High,Tier 3,Supermarket Type1,1120.5414,38,Medium,0.019116044973487786,0
FDL14,8.115,reg,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.5664,21,High,0.003962141963999758,0
NCU18,15.1,Low Fat,0.055840055,Household,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,1411.496,28,Medium,0.003698016642515454,0
NCH43,8.42,Low Fat,0.070968081,Household,215.9192,OUT017,2007,Small,Tier 2,Supermarket Type1,1941.4728,18,Very_High,0.008428512181886916,0
FDH41,9.0,Low Fat,0.081996013,Frozen Foods,216.2534,OUT035,2004,Small,Tier 2,Supermarket Type1,4301.068,21,Very_High,0.009110667098814768,0
FDS28,8.18,Regular,0.082737261,Frozen Foods,57.3588,OUT018,2009,Medium,Tier 3,Supermarket Type2,343.5528,16,Low,0.01011457834785106,0
FDG02,7.855,Low Fat,0.011206632,Canned,191.4188,OUT027,1985,Medium,Tier 3,Supermarket Type3,3998.7948,40,Very_High,0.0014266875332033693,0
FDS40,15.35,Low Fat,0.014047825,Frozen Foods,36.719,OUT045,2002,Small,Tier 2,Supermarket Type1,585.904,23,Low,0.0009151676928229517,0
FDD10,20.6,Regular,0.045982389,Snack Foods,177.0344,OUT013,1987,High,Tier 3,Supermarket Type1,535.3032,38,High,0.0022321546974682182,0
DRQ35,9.3,Low Fat,0.042256257,Hard Drinks,124.4388,OUT013,1987,High,Tier 3,Supermarket Type1,1609.9044,38,Medium,0.004543683059819025,0
NCL05,19.6,Low Fat,0.053061969285714286,Health and Hygiene,42.877,OUT049,1999,Medium,Tier 1,Supermarket Type1,649.155,26,Low,0.002707243192779137,0
FDJ48,11.3,Low Fat,0.056424146,Baking Goods,247.8118,OUT035,2004,Small,Tier 2,Supermarket Type1,2223.1062,21,Very_High,0.00499328681475338,0
FDV21,11.5,Low Fat,0.170254469,Snack Foods,124.8704,OUT027,1985,Medium,Tier 3,Supermarket Type3,2127.8968,40,Medium,0.014804735147414335,0
FDJ26,15.3,Regular,0.084749164,Canned,215.5218,OUT035,2004,Small,Tier 2,Supermarket Type1,4060.7142,21,Very_High,0.005539160683714988,0
NCN05,8.235,Low Fat,0.014541462,Health and Hygiene,184.495,OUT017,2007,Small,Tier 2,Supermarket Type1,3844.995,18,High,0.0017658118074302604,0
FDK09,15.2,Low Fat,0.091763303,Snack Foods,228.5352,OUT046,1997,Small,Tier 1,Supermarket Type1,1832.2816,28,Very_High,0.006037059010719803,0
FDM56,16.7,low fat,0.069851683,Fruits and Vegetables,110.9912,OUT027,1985,Medium,Tier 3,Supermarket Type3,1310.2944,40,Medium,0.004182735258518847,0
DRF25,9.0,Low Fat,0.039004193,Soft Drinks,37.019,OUT045,2002,Small,Tier 2,Supermarket Type1,659.142,23,Low,0.004333798740689029,0
FDG14,9.0,reg,0.05060313,Canned,150.9024,OUT045,2002,Small,Tier 2,Supermarket Type1,4402.2696,23,High,0.00562256937527007,0
FDZ31,15.35,Regular,0.113195815,Fruits and Vegetables,190.8504,OUT035,2004,Small,Tier 2,Supermarket Type1,3643.2576,21,Very_High,0.007374319715028032,0
FDU21,11.8,Regular,0.134327613,Snack Foods,35.0558,OUT019,1985,Small,Tier 1,Grocery Store,33.9558,40,Low,0.011383695052229234,0
FDC57,20.1,Regular,0.054584207,Fruits and Vegetables,193.382,OUT035,2004,Small,Tier 2,Supermarket Type1,4247.804,21,Very_High,0.0027156320539486536,0
FDU46,10.3,Regular,0.018623146,Snack Foods,87.854,OUT010,1998,Medium,Tier 3,Grocery Store,259.662,27,Low,0.0018080722516434708,0
FDU22,12.35,Low Fat,0.093278912,Snack Foods,118.7124,OUT035,2004,Small,Tier 2,Supermarket Type1,2607.2728,21,Medium,0.007552947728506258,0
DRG23,8.88,Low Fat,0.086957199,Hard Drinks,152.5682,OUT045,2002,Small,Tier 2,Supermarket Type1,1372.2138,23,High,0.009792476262108529,0
FDR23,15.85,Low Fat,0.13689554,Breads,176.437,OUT010,1998,Medium,Tier 3,Grocery Store,529.311,27,High,0.008636942041833311,0
FDI14,14.1,Low Fat,0.090043082,Canned,140.1496,OUT018,2009,Medium,Tier 3,Supermarket Type2,846.8976,16,Medium,0.006386033731486969,0
NCN42,20.25,Low Fat,0.014251461,Household,148.6418,OUT045,2002,Small,Tier 2,Supermarket Type1,2648.5524,23,High,0.0007037758170974905,0
NCM41,16.5,Low Fat,0.035711426,Health and Hygiene,93.612,OUT049,1999,Medium,Tier 1,Supermarket Type1,1584.604,26,Low,0.0021643287173134106,0
FDT55,13.6,Regular,0.043655155,Fruits and Vegetables,156.7946,OUT046,1997,Small,Tier 1,Supermarket Type1,3629.2758,28,High,0.003209937631622233,0
DRY23,9.395,Regular,0.108568067,Soft Drinks,42.9112,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.6128,40,Low,0.011555939908894104,0
FDL46,20.35,Low Fat,0.090480214,Snack Foods,119.5466,OUT010,1998,Medium,Tier 3,Grocery Store,117.8466,27,Medium,0.00444620194367558,0
FDQ57,7.275,Low Fat,0.027942357,Snack Foods,145.076,OUT035,2004,Small,Tier 2,Supermarket Type1,1611.236,21,High,0.0038408732864778986,0
FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,Supermarket Type1,2402.2064,21,Medium,0.0021182997401878304,0
FDZ52,19.2,Low Fat,0.099589909,Frozen Foods,109.1886,OUT027,1985,Medium,Tier 3,Supermarket Type3,4225.1668,40,Medium,0.005186974156928429,0
FDL16,12.85,Low Fat,0.294939214,Frozen Foods,47.106,OUT019,1985,Small,Tier 1,Grocery Store,139.818,40,Low,0.02295246622938006,0
NCX18,14.15,Low Fat,0.008829806,Household,196.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,4517.453,16,Very_High,0.0006240145142039213,0
FDM34,19.0,Low Fat,0.067722325,Snack Foods,130.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,1573.9512,16,Medium,0.0035643327071403835,0
FDG60,20.35,Low Fat,0.060405784,Baking Goods,234.5616,OUT027,1985,Medium,Tier 3,Supermarket Type3,6796.4864,40,Very_High,0.0029683430482386705,0
NCA06,20.5,Low Fat,0.14335269871428571,Household,37.119,OUT018,2009,Medium,Tier 3,Supermarket Type2,842.237,16,Low,0.006992814230315681,0
DRD12,6.96,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,1997,Small,Tier 1,Supermarket Type1,1277.0044,28,Low,0.01109102728577194,0
FDP04,15.35,Low Fat,0.013869039,Frozen Foods,62.5168,OUT018,2009,Medium,Tier 3,Supermarket Type2,447.4176,16,Low,0.000903520397164795,0
NCH30,17.1,Low Fat,0.067290244,Household,114.586,OUT045,2002,Small,Tier 2,Supermarket Type1,1584.604,23,Medium,0.0039351017581811835,0
FDS04,10.195,Regular,0.146960375,Frozen Foods,142.2838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,23,High,0.014414944638063303,0
FDQ13,11.1,Low Fat,0.018632082,Canned,82.9908,OUT019,1985,Small,Tier 1,Grocery Store,503.3448,40,Low,0.0016785657947238025,0
FDU59,5.78,Low Fat,0.096536082,Breads,162.8552,OUT049,1999,Medium,Tier 1,Supermarket Type1,3574.0144,26,High,0.0167017414010828,0
DRG11,6.385,Low Fat,0.084008316,Hard Drinks,108.2596,OUT045,2002,Small,Tier 2,Supermarket Type1,1186.4556,23,Medium,0.01315713435283722,0
FDA36,5.985,Low Fat,0.005638944,Baking Goods,184.9924,OUT027,1985,Medium,Tier 3,Supermarket Type3,3146.5708,40,High,0.0009421792911981133,0
FDA15,9.3,Low Fat,0.01601936,Dairy,248.5092,OUT035,2004,Small,Tier 2,Supermarket Type1,6474.2392,21,Very_High,0.0017225116427406835,0
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998,Medium,Tier 3,Grocery Store,745.696,27,Very_High,0.009661005885640594,0
FDJ16,9.195,LF,0.114863923,Frozen Foods,59.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,1853.5872,21,Low,0.012491996792605027,0
FDZ12,9.17,Low Fat,0.103138922,Baking Goods,141.747,OUT049,1999,Medium,Tier 1,Supermarket Type1,3006.087,26,Medium,0.011247427562985,0
FDH09,12.6,Low Fat,0.056191301,Seafood,53.2982,OUT045,2002,Small,Tier 2,Supermarket Type1,736.3748,23,Low,0.004459626709553436,0
FDT13,14.85,Low Fat,0.01867669,Canned,188.7214,OUT017,2007,Small,Tier 2,Supermarket Type1,3956.8494,18,Very_High,0.0012576894775966681,0
FDU20,19.35,Regular,0.021578923,Fruits and Vegetables,120.5098,OUT017,2007,Small,Tier 2,Supermarket Type1,1807.647,18,Medium,0.0011151897614889012,0
DRH25,18.7,Low Fat,0.0158360515,Soft Drinks,52.2324,OUT035,2004,Small,Tier 2,Supermarket Type1,467.3916,21,Low,0.000846847628510822,0
FDK26,5.46,Regular,0.032242661,Canned,187.624,OUT045,2002,Small,Tier 2,Supermarket Type1,3542.056,23,Very_High,0.005905248185851981,0
FDU32,8.785,Low Fat,0.025962714,Fruits and Vegetables,120.9414,OUT035,2004,Small,Tier 2,Supermarket Type1,1949.4624,21,Medium,0.002955345594155311,0
FDI22,12.6,Low Fat,0.096407554,Snack Foods,210.8612,OUT045,2002,Small,Tier 2,Supermarket Type1,3344.9792,23,Very_High,0.007651392567349797,0
